tanggal,isu,tonality,berita_jakarta,link/page
2019-08-06,Pengendalian Kualitas Udara di Jakarta,NETRAL,Ini Cara Dinas Kehutanan untuk Tingkatkan Kualitas Udara,https://www.beritajakarta.id/read/70950/ini-cara-dinas-kehutanan-untuk-tingkatkan-kualitas-udara#.XUvR3vIzaHs
2019-08-06,Pengendalian Kualitas Udara di Jakarta,NETRAL,DKI Matangkan Aplikasi Pemantauan Kualitas Udara,https://www.beritajakarta.id/read/70888/dki-matangkan-aplikasi-pemantauan-kualitas-udara#.XUfenPIzaHs
2019-08-06,Pengendalian Kualitas Udara di Jakarta,NETRAL,Dewan Dukung Percepatan Pengoperasian Bus Listrik di Jakarta,https://www.beritajakarta.id/read/70814/dishub-ingin-penggunaan-kendaraan-listrik-lebih-dioptimalkan#.XUOgkPIzaHs
2019-08-07,Rute Perluasan Ganjil Genap,POSITIF,Pemprov DKI Belum Umumkan Perluasan Ganjil Genap,https://www.beritajakarta.id/read/70945/pemprov-dki-belum-umumkan-perluasan-ganjil-genap#.XUpudPIzaHs
2019-08-07,Pendaftaran Rumah Dp Nol Rupiah Gelombang 2,POSITIF,Peminat Tinggi Pemprov DKI Memulai Pendaftaran Samawa Rumah DP 0 Rupiah Gelombang Kedua,https://www.beritajakarta.id/read/70912/peminat-tinggi-pemprov-dki-memulai-pendaftaran-samawa-rumah-dp-0-rupiah-gelombang-kedua#.XUkyB_IzaHs
2019-08-07,Wacana Pembatasan Usia Kendaraan di Ibukota,NETRAL,Ingub 66 Tahun 2019 Perlu Disosialisasikan Lebih Masif,https://www.beritajakarta.id/read/70920/ingub-66-tahun-2019-perlu-disosialisasikan-lebih-masif#.XUkx4PIzaHs
2019-08-08,Gubernur DKI Minta Satpol PP Tegakkan Aturan Secara Beradab,POSITIF,HUT Satpol PP ke-69 dan Satlinmas ke-57 Anies Tegaskan Penegakan Hukum yang Beradab dan Humanis,https://www.beritajakarta.id/read/70953/hut-satpol-pp-ke-69-dan-satlinmas-ke-57-anies-tegaskan-penegakan-hukum-yang-beradab-dan-humanis#.XUpr-vIzaHs
2019-08-08,Kebijakan Ganjil Genap,POSITIF,Area Ganjil-Genap Diperluas Dukung Penggunaan Angkutan Umum Terintegrasi di Jakarta,https://www.beritajakarta.id/read/70962/area-ganjil-genap-diperluas-dukung-penggunaan-angkutan-umum-terintegrasi-di-jakarta#.XUuF5_IzaHs
2019-08-08,Kualitas Udara Jakarta Kembali Terpuruk,NETRAL,Dewan Dukung Dinas LH Tindak Tegas Industri Pencemar Udara,https://www.beritajakarta.id/read/71046/dewan-dukung-dinas-lh-tindak-tegas-industri-pencemar-udara#.XVDZF_IzaHs
2019-08-08,Kualitas Udara Jakarta Kembali Terpuruk,NETRAL,Ini Cara Dinas Kehutanan untuk Tingkatkan Kualitas Udara,https://www.beritajakarta.id/read/70950/ini-cara-dinas-kehutanan-untuk-tingkatkan-kualitas-udara#.XUvR3vIzaHs
2019-08-09,Kebijakan Ganjil Genap,NEGATIF,Area Ganjil-Genap Diperluas Dukung Penggunaan Angkutan Umum Terintegrasi di Jakarta,https://www.beritajakarta.id/read/70962/area-ganjil-genap-diperluas-dukung-penggunaan-angkutan-umum-terintegrasi-di-jakarta#.XUuF5_IzaHs
2019-08-09,Kebijakan Ganjil Genap,NEGATIF,Sudinhub Jakut Sosialisasikan Perluasan Ganjil - Genap,https://www.beritajakarta.id/read/71051/sudinhub-jakut-sosialisasikan-perluasan-ganjil-genap#.XVDZDvIzaHs
2019-08-09,Kebijakan Ganjil Genap,NEGATIF,Dishub Terus Sosialisasikan Perluasan Ganjil Genap,https://www.beritajakarta.id/read/71041/dishub-terus-sosialisasikan-perluasan-ganjil-genap#.XVDZIvIzaHs
2019-08-09,Kebijakan Ganjil Genap,NEGATIF,200 Selebaran Perluasan Ganjil Genap Dibagikan ke Pengendara,https://www.beritajakarta.id/read/71031/200-selebaran-perluasan-ganjil-genap-dibagikan-ke-pengendara#.XVDZK_IzaHs
2019-08-09,Mencari Taman Makam Pahlawan (TMP) Milik DKI Jakarta,NEGATIF,,
2019-08-09,Insentif Mobil Listrik,POSITIF,,
2019-08-09,Inkonsistensi Ingub 46/2019 di Tanah Abang,NEGATIF,,
2019-08-12,Bangunan Blok G Tanah Abang Alami Penurunan Muka Tanah,NETRAL,,
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Anies Sembelih Hewan Kurban di Jl Lebak Bulus V,https://www.beritajakarta.id/read/71073/anies-sembelih-hewan-kurban-di-jl-lebak-bulus-v#.XVDYK_IzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Pemprov DKI Gandeng Chef Hotel Bintang Lima dalam Dapur Kurban,https://www.beritajakarta.id/read/71048/pemprov-dki-gandeng-chef-hotel-bintang-lima-dalam-dapur-kurban#.XVDZEfIzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Kunjungi Hotel Borobudur Anies Pastikan Kualitas Masakan Dapur Qurban 2019 Bintang Lima,https://www.beritajakarta.id/read/71089/kunjungi-hotel-borobudur-anies-pastikan-kualitas-masakan-dapur-qurban-2019-bintang-lima#.XVD1G_IzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Chef Ragil Apresiasi Inovasi Dapur Kurban Pemprov DKI,https://www.beritajakarta.id/read/71065/chef-ragil-apresiasi-inovasi-dapur-kurban-pemprov-dki#.XVDY5fIzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Pemprov DKI Gelar Salat Idul Adha dan Kegiatan Berkurban,https://www.beritajakarta.id/read/71070/pemprov-dki-gelar-salat-idul-adha-dan-kegiatan-berkurban#.XVDY1fIzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,PT Transjakarta Komitmen Ikut Kendalikan Pencemaran Udara,https://www.beritajakarta.id/read/71127/pt-transjakarta-komitmen-ikut-kendalikan-pencemaran-udara#.XVJ6ZuMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Anies Luncurkan Aplikasi E-Uji Emisi Terintegrasi DKI Jakarta,https://www.beritajakarta.id/read/71130/anies-luncurkan-aplikasi-e-uji-emisi-terintegrasi-dki-jakarta#.XVJ6Z-MzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Warga Tanah Tinggi Bersyukur Nikmati Masakan Hotel Berbintang,https://www.beritajakarta.id/read/71112/warga-tanah-tinggi-bersyukur-nikmati-masakan-hotel-berbintang#.XVJ6g-MzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Warga di RW 12 Kelurahan Kapuk Nikmati Makanan dari Dapur Qurban,https://www.beritajakarta.id/read/71121/warga-di-rw-12-kelurahan-kapuk-nikmati-makanan-dari-dapur-qurban#.XVJ9DOMzaHt
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Delapan RW di Kalibaru Didistribusikan Makanan Olahan dari Dapur Qurban,https://www.beritajakarta.id/read/71105/delapan-rw-di-kalibaru-didistribusikan-makanan-olahan-dari-dapur-qurban#.XVJ6jOMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Warga Kampung Melayu Apresiasi Daging Rendang dari Dapur Qurban,https://www.beritajakarta.id/read/71110/warga-kampung-melayu-apresiasi-daging-rendang-dari-dapur-qurban#.XVJ6juMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Warga Penjaringan Dapatkan 300 Paket Makanan Olahan Dapur Qurban,https://www.beritajakarta.id/read/71119/warga-penjaringan-dapatkan-300-paket-makanan-olahan-dapur-qurban#.XVJ6kOMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Warga Jatipulo Sumringah Nikmati Daging Olahan Dapur Qurban,https://www.beritajakarta.id/read/71114/warga-jatipulo-sumringah-nikmati-daging-olahan-dapur-qurban#.XVJ6k-MzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Ini Komentar Warga Soal Sajian Makanan Dapur Qurban,https://www.beritajakarta.id/read/71125/ini-komentar-warga-soal-sajian-makanan-dapur-qurban#.XVKDguMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Sudinkes Jakut Pastikan Kelayakan Masakan Olahan Dapur Qurban,https://www.beritajakarta.id/read/71097/sudinkes-jakut-pastikan-kelayakan-masakan-olahan-dapur-qurban#.XVJ6lOMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Senangnya Warga Santap Olahan Daging Kurban Hotel Berbintang,https://www.beritajakarta.id/read/71115/senangnya-warga-santap-olahan-daging-kurban-hotel-berbintang#.XVJ6nOMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Warga Gang Venus Jembatan Besi Senang Bisa Cicipi Masakan Hotel Berbintang,https://www.beritajakarta.id/read/71111/warga-gang-venus-jembatan-besi-senang-bisa-cicipi-masakan-hotel-berbintang#.XVJ6nuMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Wali Kota Jaksel Pimpin Pendistribusian 300 Boks Makanan Dapur Qurban,https://www.beritajakarta.id/read/71113/wali-kota-jaksel-pimpin-pendistribusian-300-boks-makanan-dapur-qurban#.XVJ6oeMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Kebahagiaan Nenek Icih Menikmati Masakan Hotel Berbintang,https://www.beritajakarta.id/read/71120/kebahagiaan-nenek-icih-menikmati-masakan-hotel-berbintang#.XVJ6ouMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,300 Warga Keagungan Nikmati Makanan Berkelas Hotel Berbintang,https://www.beritajakarta.id/read/71117/300-warga-keagungan-nikmati-makanan-berkelas-hotel-berbintang#.XVJ6puMzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Dapur Qurban Hotel Grand Cempaka Sajikan Semur Daging,https://www.beritajakarta.id/read/71092/dapur-qurban-hotel-grand-cempaka-sajikan-semur-daging#.XVJ6q-MzaHs
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Pemprov DKI Bagikan 5.000 Boks Daging Kurban Siap Saji untuk Warga,https://www.beritajakarta.id/read/71102/pemprov-dki-bagikan-5000-boks-daging-kurban-siap-saji-untuk-warga
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Ini Menu Olahan Dapur Qurban untuk Wilayah Kebayoran Baru,https://www.beritajakarta.id/read/71101/ini-menu-olahan-dapur-qurban-untuk-wilayah-kebayoran-baru
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,Pemprov DKI Gelar Acara Dapur Qurban Kolaborasi untuk Berbagi,https://www.beritajakarta.id/read/71096/pemprov-dki-gelar-acara-dapur-qurban-kolaborasi-untuk-berbagi
2019-08-12,Gubernur Serahkan Sapi Limosin 1.2 Ton ke Panitia Kurban,POSITIF,PD Dharma Jaya Potong 22 Ekor Sapi untuk Kegiatan Dapur Qurban,https://www.beritajakarta.id/read/71091/pd-dharma-jaya-potong-22-ekor-sapi-untuk-kegiatan-dapur-qurban
2019-08-12,Satu Tahun Tanpa Wakil Gubernur,NETRAL,,
2019-08-13,Uji Coba Ganjil Genap di 16 Titik Baru,NETRAL,Sudinhub Jakut Sosialisasikan Perluasan Ganjil - Genap,https://www.beritajakarta.id/read/71051/sudinhub-jakut-sosialisasikan-perluasan-ganjil-genap#.XVKEHuMzaHs
2019-08-13,Uji Coba Ganjil Genap di 16 Titik Baru,NETRAL,200 Selebaran Perluasan Ganjil Genap Dibagikan ke Pengendara,https://www.beritajakarta.id/read/71031/200-selebaran-perluasan-ganjil-genap-dibagikan-ke-pengendara#.XVKFleMzaHs
2019-08-13,Uji Coba Ganjil Genap di 16 Titik Baru,NETRAL,Pemkot Jakut Sosialisasikan Perluasan Ganjil Genap di Pusat Perbelanjaan,https://www.beritajakarta.id/read/71210/pemkot-jakut-sosialisasikan-perluasan-ganjil-genap-di-pusat-perbelanjaan#.XVUUKeMzaHs
2019-08-13,Uji Coba Ganjil Genap di 16 Titik Baru,NETRAL,Dishub Terus Sosialisasikan Perluasan Ganjil Genap,https://www.beritajakarta.id/read/71041/dishub-terus-sosialisasikan-perluasan-ganjil-genap#.XVKFWOMzaHs
2019-08-13,Uji Coba Ganjil Genap di 16 Titik Baru,NETRAL,Hari Pertama Uji Coba Perluasan Ganjil Genap di Jaktim Lancar,https://www.beritajakarta.id/read/71082/hari-pertama-uji-coba-perluasan-ganjil-genap-di-jaktim-lancar#.XVEbcPIzaHs
2019-08-13,LRT Jakarta Fase Satu Masih Tahap Uji Coba,NETRAL,,
2019-08-13,Polemik Pemilihan Wagub DKI Jakarta,NETRAL,,
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,Anies Luncurkan Aplikasi E-Uji Emisi Terintegrasi DKI Jakarta,https://www.beritajakarta.id/read/71130/anies-luncurkan-aplikasi-e-uji-emisi-terintegrasi-dki-jakarta#.XVKDtOMzaHs
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,Wali Kota Jaksel Ajak Warga Rutin Lakukan Uji Emisi,https://www.beritajakarta.id/read/71203/wali-kota-jaksel-ajak-warga-rutin-lakukan-uji-emisi#.XVUUGuMzaHs
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,Sudin LH Kepulauan Seribu Lakukan Pemantauan Kualitas Udara,https://www.beritajakarta.id/read/71339/sudin-lh-kepulauan-seribu-lakukan-pemantauan-kualitas-udara#.XVtTh-MzaHs
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,Uji Emisi Kendaraan di Jakpus Lampaui Target,https://www.beritajakarta.id/read/71143/uji-emisi-kendaraan-di-jakpus-lampaui-target#.XVO3f-MzaHs
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,29 Bengkel Pelaksana Uji Emisi di Jakbar Diberi Pelatihan,https://www.beritajakarta.id/read/71226/29-bengkel-pelaksana-uji-emisi-di-jakbar-diberi-pelatihan#.XVoUbOMzaHs
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,Pemkot Jakut Pastikan Kesiapan Bengkel Pelaksana Uji Emisi,https://www.beritajakarta.id/read/71230/pemkot-jakut-pastikan-kesiapan-bengkel-pelaksana-uji-emisi#.XVoUb-MzaHs
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,Upaya Pemprov DKI Perbaiki Kualitas Udara Diapresiasi,https://www.beritajakarta.id/read/71176/upaya-pemprov-dki-perbaiki-kualitas-udara-diapresiasi#.XVUUV-MzaHs
2019-08-14,Aplikasi Uji Emisi Elektronik Dalam Menekan Polusi Udara Ibukota,POSITIF,Ini 25 Bengkel Rujukan Uji Emisi di Jakarta Utara,https://www.beritajakarta.id/read/71145/ini-25-bengkel-rujukan-uji-emisi-di-jakarta-utara#.XVNwsOMzaHs
2019-08-14,Taksi Daring Bebas Ganji Genap,NETRAL,,
2019-08-14,Penyelenggaraan Idul Adha di Jakarta,POSITIF,,
2019-08-15,Penentuan Tarif Parkir Berdasarkan Hasil Uji Emisi Kendaraan,POSITIF,29 Bengkel Pelaksana Uji Emisi di Jakbar Diberi Pelatihan,https://www.beritajakarta.id/read/71226/29-bengkel-pelaksana-uji-emisi-di-jakbar-diberi-pelatihan#.XVoUbOMzaHs
2019-08-15,Penentuan Tarif Parkir Berdasarkan Hasil Uji Emisi Kendaraan,POSITIF,Pemkot Jakut Pastikan Kesiapan Bengkel Pelaksana Uji Emisi,https://www.beritajakarta.id/read/71230/pemkot-jakut-pastikan-kesiapan-bengkel-pelaksana-uji-emisi#.XVoUb-MzaHs
2019-08-15,Pemasangan Signage dan Wayfinding di 28 Halte Ibu Kota,POSITIF,Transjakarta Dukung Penuh Pemasangan Papan Informasi Transportasi Publik,https://www.beritajakarta.id/read/71164/transjakarta-dukung-penuh-pemasangan-papan-informasi-transportasi-publik#.XVO3S-MzaHs
2019-08-15,Pemasangan Signage dan Wayfinding di 28 Halte Ibu Kota,POSITIF,Pemasangan Peta Informasi Transportasi Publik Diapresiasi Warga,https://www.beritajakarta.id/read/71155/pemasangan-peta-informasi-transportasi-publik-diapresiasi-warga#.XVO3feMzaHs
2019-08-15,Pemasangan Signage dan Wayfinding di 28 Halte Ibu Kota,POSITIF,Pemprov DKI dan FDTJ Pasang Informasi Transportasi Publik di Koridor Sudirman,https://www.beritajakarta.id/read/71154/pemprov-dki-dan-fdtj-pasang-informasi-transportasi-publik-di-koridor-sudirman#.XVO3heMzaHs
2019-08-15,Rencana Penyelenggaraan Formula E,NETRAL,,
2019-08-16,Penetapan APBD Perubahan (APBD-P) 2019 dan KUA-PPAS 2020 DKI Jakarta,POSITIF,Anies Bersama DPRD DKI Sepakati Perubahan APBD Jakarta 2019,https://www.beritajakarta.id/read/71186/anies-bersama-dprd-dki-sepakati-perubahan-apbd-jakarta-2019#.XVUUUOMzaHs
2019-08-16,Penetapan APBD Perubahan (APBD-P) 2019 dan KUA-PPAS 2020 DKI Jakarta,POSITIF,Komisi A DPRD DKI Apresiasi Usulan KUA-PPAS 2020 Eksekutif,https://www.beritajakarta.id/read/71235/komisi-a-dprd-dki-apresiasi-usulan-kua-ppas-2020-eksekutif#.XVoUe-MzaHs
2019-08-16,Penetapan APBD Perubahan (APBD-P) 2019 dan KUA-PPAS 2020 DKI Jakarta,POSITIF,Anies Sampaikan Jawaban Pandangan Umum Fraksi DPRD Atas Raperda APBD-P 2019,https://www.beritajakarta.id/read/71354/anies-sampaikan-jawaban-pandangan-umum-fraksi-dprd-atas-raperda-apbd-p-2019#.XVtTA-MzaHs
2019-08-16,Penetapan APBD Perubahan (APBD-P) 2019 dan KUA-PPAS 2020 DKI Jakarta,POSITIF,Komisi A - Satpol PP Gelar Raker Pembahasan KUA-PPAS 2020,https://www.beritajakarta.id/read/71216/komisi-a-satpol-pp-gelar-raker-pembahasan-kua-ppas-2020#.XVoUjOMzaHs
2019-08-16,Penetapan APBD Perubahan (APBD-P) 2019 dan KUA-PPAS 2020 DKI Jakarta,POSITIF,Raperda APBD-P 2019 Penyesuaian untuk Tingkatkan Pelayanan dan Efektivitas Anggaran,https://www.beritajakarta.id/read/71265/raperda-apbd-p-2019-penyesuaian-untuk-tingkatkan-pelayanan-dan-efektivitas-anggaran#.XVoURuMzaHs
2019-08-16,Penetapan APBD Perubahan (APBD-P) 2019 dan KUA-PPAS 2020 DKI Jakarta,POSITIF,Gubernur dan Ketua DPRD DKI Tanda Tangani Berita Acara APBD-P,https://www.beritajakarta.id/potret/album/7179/gubernur-dan-ketua-dprd-dki-tanda-tangani-berita-acara-apbd-p
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,Upacara HUT RI ke-74 Anies Ajak Seluruh Komponen Tingkatkan Kualitas SDM dan Daya Saing di Jakarta,https://www.beritajakarta.id/read/71298/upacara-hut-ri-ke-74-anies-ajak-seluruh-komponen-tingkatkan-kualitas-sdm-dan-daya-saing-di-jakarta#.XVoT9uMzaHs
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,Berkah Upacara di Pantai Maju Bagi Penjual Dawet,https://www.beritajakarta.id/read/71296/berkah-upacara-di-pantai-maju-bagi-penjual-dawet#.XVoT-uMzaHs
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,Ingin Lihat Upacara di Pantai Maju Dono Rela Bersepeda Sejauh 29 Kilometer,https://www.beritajakarta.id/read/71281/ingin-lihat-upacara-di-pantai-maju-dono-rela-bersepeda-sejauh-29-kilometer#.XVoUD-MzaHs
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,221 Personel Satpol PP Bantu Pengamanan dan Kelancaran Lalin di Pantai Maj,https://www.beritajakarta.id/read/71269/221-personel-satpol-pp-bantu-pengamanan-dan-kelancaran-lalin-di-pantai-maju#.XVoUNeMzaHs
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,Dinas LH Kerahkan Delapan Bus Toilet ke Pantai Maju,https://www.beritajakarta.id/read/71267/dinas-lh-kerahkan-delapan-bus-toilet-ke-pantai-maju#.XVoUPOMzaHs
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,Dishub Terjunkan 160 Petugas di Kawasan Pantai Maju,https://www.beritajakarta.id/read/71272/dishub-terjunkan-160-petugas-di-kawasan-pantai-maju#.XVoUQuMzaHs
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,75 Bus Transjakarta Jemput ASN DKI di 12 Titik Lokasi,https://www.beritajakarta.id/read/71277/75-bus-transjakarta-jemput-asn-dki-di-12-titik-lokasi#.XVoUEuMzaHs
2019-08-16,Perayaan HUT RI Ke- 74 di Pantai Maju,NETRAL,75 Bus Disiapkan untuk ASN ke Lokasi Upacara HUT RI,https://www.beritajakarta.id/read/71214/75-bus-disiapkan-untuk-asn-ke-lokasi-upacara-hut-ri#.XVoUiuMzaHs
